Camera Number,car,truck,bus,quadrant,camera_location,Camera_Number,URL,longitude,latitude,Current Date,Current Time,Day of Week
155,10.0,0.0,0.0,NW,Charleswood Dr / John Laurie Bv NW,155,http://trafficcam.calgary.ca/loc154.jpg,-114.1165044,51.0967191,03/27/2024,10:07,Wednesday
156,4.0,0.0,0.0,SE,Anderson Rd / Acadia Dr SE,156,http://trafficcam.calgary.ca/loc155.jpg,-114.0417885,50.9480431,03/27/2024,10:07,Wednesday
157,5.0,3.0,2.0,SE,12 Ave / 3 St  SE,157,http://trafficcam.calgary.ca/loc156.jpg,-114.0559291,51.0412162,03/27/2024,10:07,Wednesday
158,2.0,0.0,0.0,SW,26 Ave / 4 St SW,158,http://trafficcam.calgary.ca/loc157.jpg,-114.0716774,51.0296112,03/27/2024,10:07,Wednesday
159,8.0,0.0,0.0,SE,7 Ave / Macleod Tr SE,159,http://trafficcam.calgary.ca/loc158.jpg,-114.0581972,51.046454,03/27/2024,10:07,Wednesday
161,2.0,1.0,0.0,SW,3 Ave / 1 St SW,161,http://trafficcam.calgary.ca/loc160.jpg,-114.0650013,51.0504292,03/27/2024,10:07,Wednesday
162,7.0,0.0,0.0,SW,17 Ave / 4 St SW,162,http://trafficcam.calgary.ca/loc161.jpg,-114.0715981,51.0377508,03/27/2024,10:07,Wednesday
163,1.0,0.0,0.0,SW,17 Ave / 14 St SW,163,http://trafficcam.calgary.ca/loc162.jpg,-114.0946681,51.0379174,03/27/2024,10:07,Wednesday
164,0.0,0.0,0.0,SW,3 Ave / 3 St SW,164,http://trafficcam.calgary.ca/loc163.jpg,-114.0699408,51.0506131,03/27/2024,10:07,Wednesday
165,5.0,1.0,0.0,SW,11 Ave / 14 St SW,165,http://trafficcam.calgary.ca/loc164.jpg,-114.0948634,51.0431872,03/27/2024,10:07,Wednesday
166,0.0,0.0,0.0,SW,Richmond Rd / 37 St SW,166,http://trafficcam.calgary.ca/loc165.jpg,-114.1413625,51.0225389,03/27/2024,10:07,Wednesday
167,1.0,0.0,0.0,SW,Bow Tr / 85 St SW,167,http://trafficcam.calgary.ca/loc166.jpg,-114.2114586,51.0526725,03/27/2024,10:07,Wednesday
168,14.0,0.0,0.0,SE,7 Ave / 4 St SE,168,http://trafficcam.calgary.ca/loc167.jpg,-114.0529827,51.0461744,03/27/2024,10:07,Wednesday
169,8.0,0.0,1.0,SW,8 Ave / 4 St SW,169,http://trafficcam.calgary.ca/loc168.jpg,-114.071668,51.0457185,03/27/2024,10:07,Wednesday
170,9.0,0.0,0.0,SW,9 Ave / 9 St SW,170,http://trafficcam.calgary.ca/loc169.jpg,-114.0838609,51.0452941,03/27/2024,10:07,Wednesday
171,12.0,4.0,0.0,SW,9 Ave / 1 St SW,171,http://trafficcam.calgary.ca/loc170.jpg,-114.065353,51.0447401,03/27/2024,10:07,Wednesday
172,3.0,0.0,0.0,NE,Country Hills Bv / Stoney Tr NE,172,http://trafficcam.calgary.ca/loc171.jpg,-113.919492,51.1541373,03/27/2024,10:07,Wednesday
173,3.0,2.0,0.0,NE,Airport Tr / Deerfoot Tr NE,173,http://trafficcam.calgary.ca/loc172.jpg,-114.0352515,51.1423169,03/27/2024,10:07,Wednesday
174,7.0,0.0,1.0,SW,Old Banff Coach Rd / 85 St SW,174,http://trafficcam.calgary.ca/loc173.jpg,-114.2111715,51.066886,03/27/2024,10:07,Wednesday
175,7.0,0.0,0.0,SW,17 Ave / 85 St SW,175,http://trafficcam.calgary.ca/loc174.jpg,-114.2109559,51.0381914,03/27/2024,10:07,Wednesday
176,1.0,0.0,0.0,SE,Seton Bv / 52 St SE,176,http://trafficcam.calgary.ca/loc175.jpg,-113.9418025,50.8849674,03/27/2024,10:07,Wednesday
